                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5812,                0.00195,                0.02271,                 4.6597,             0.00023738,             0.00023738,             0.00023738
                      2,                 3.0303,                0.00195,                 0.0292,                 4.6593,             0.00047068,             0.00047068,             0.00047068
                      3,                 2.8856,                0.00324,                0.03115,                 4.6603,             0.00069926,             0.00069926,             0.00069926
                      4,                 2.8086,                0.00389,                0.03634,                 4.6587,             0.00069279,             0.00069279,             0.00069279
                      5,                 2.6995,                0.00389,                0.02596,                 4.6599,             0.00069279,             0.00069279,             0.00069279
                      6,                 2.6357,                 0.0026,                 0.0279,                 4.6586,             0.00068573,             0.00068573,             0.00068573
                      7,                 2.5623,                0.00519,                0.03699,                 4.6586,             0.00067866,             0.00067866,             0.00067866
                      8,                 2.4811,                0.00324,                 0.0279,                 4.6602,             0.00067159,             0.00067159,             0.00067159
                      9,                 2.4054,                0.00584,                0.03699,                  4.659,             0.00066452,             0.00066452,             0.00066452
                     10,                 2.3684,                0.00454,                0.04672,                 4.6583,             0.00065745,             0.00065745,             0.00065745
                     11,                 2.3191,                0.00519,                0.03634,                  4.659,             0.00065038,             0.00065038,             0.00065038
                     12,                 2.2474,                0.00389,                0.03245,                 4.6604,             0.00064331,             0.00064331,             0.00064331
                     13,                 2.2316,                0.00584,                0.03634,                 4.6584,             0.00063625,             0.00063625,             0.00063625
                     14,                 2.1641,                0.00649,                0.03894,                 4.6581,             0.00062918,             0.00062918,             0.00062918
                     15,                 2.1317,                0.00714,                0.04737,                 4.6572,             0.00062211,             0.00062211,             0.00062211
                     16,                 2.0716,                0.00519,                0.03634,                 4.6586,             0.00061504,             0.00061504,             0.00061504
                     17,                 2.0348,                0.00454,                0.03504,                 4.6602,             0.00060797,             0.00060797,             0.00060797
                     18,                 1.9921,                0.00649,                0.04413,                 4.6584,              0.0006009,              0.0006009,              0.0006009
                     19,                 1.9398,                0.00389,                0.04413,                  4.659,             0.00059383,             0.00059383,             0.00059383
                     20,                 1.8952,                0.00519,                0.04413,                 4.6587,             0.00058677,             0.00058677,             0.00058677
                     21,                  1.857,                0.00389,                0.03699,                 4.6598,              0.0005797,              0.0005797,              0.0005797
                     22,                 1.8431,                0.00454,                0.04023,                 4.6578,             0.00057263,             0.00057263,             0.00057263
                     23,                 1.7829,                0.00714,                0.04023,                 4.6586,             0.00056556,             0.00056556,             0.00056556
                     24,                 1.7481,                0.01038,                0.04348,                 4.6582,             0.00055849,             0.00055849,             0.00055849
                     25,                 1.7188,                0.00714,                0.03764,                 4.6592,             0.00055142,             0.00055142,             0.00055142
                     26,                 1.6765,                0.00454,                0.03894,                 4.6574,             0.00054435,             0.00054435,             0.00054435
                     27,                 1.6588,                0.00454,                0.04088,                 4.6599,             0.00053728,             0.00053728,             0.00053728
                     28,                 1.6187,                0.00649,                0.04088,                 4.6591,             0.00053022,             0.00053022,             0.00053022
                     29,                 1.6066,                0.00584,                0.03504,                 4.6602,             0.00052315,             0.00052315,             0.00052315
                     30,                 1.5391,                0.00584,                0.03894,                 4.6592,             0.00051608,             0.00051608,             0.00051608
                     31,                  1.555,                0.00324,                0.03245,                 4.6606,             0.00050901,             0.00050901,             0.00050901
                     32,                 1.4985,                0.00649,                0.04607,                 4.6591,             0.00050194,             0.00050194,             0.00050194
                     33,                 1.4614,                0.00584,                0.03958,                 4.6593,             0.00049487,             0.00049487,             0.00049487
                     34,                  1.456,                0.00649,                0.04153,                 4.6584,              0.0004878,              0.0004878,              0.0004878
                     35,                  1.418,                0.00714,                0.04218,                 4.6596,             0.00048074,             0.00048074,             0.00048074
                     36,                 1.3946,                0.00584,                0.04023,                 4.6604,             0.00047367,             0.00047367,             0.00047367
                     37,                 1.3801,                0.00779,                0.03439,                 4.6595,              0.0004666,              0.0004666,              0.0004666
                     38,                 1.3646,                0.00584,                0.04283,                 4.6597,             0.00045953,             0.00045953,             0.00045953
                     39,                 1.3333,                0.00389,                0.03764,                 4.6599,             0.00045246,             0.00045246,             0.00045246
                     40,                 1.2892,                0.00649,                0.03634,                 4.6605,             0.00044539,             0.00044539,             0.00044539
                     41,                   1.27,                0.00454,                0.03894,                 4.6602,             0.00043832,             0.00043832,             0.00043832
                     42,                 1.2575,                0.00454,                0.03829,                 4.6591,             0.00043126,             0.00043126,             0.00043126
                     43,                 1.2383,                0.00584,                0.03504,                 4.6613,             0.00042419,             0.00042419,             0.00042419
                     44,                 1.2041,                0.00389,                0.03958,                 4.6609,             0.00041712,             0.00041712,             0.00041712
                     45,                 1.2023,                0.00649,                0.03504,                  4.661,             0.00041005,             0.00041005,             0.00041005
                     46,                 1.1873,                0.00389,                0.03829,                 4.6608,             0.00040298,             0.00040298,             0.00040298
                     47,                 1.1481,                0.00519,                0.04088,                 4.6604,             0.00039591,             0.00039591,             0.00039591
                     48,                 1.1159,                0.00324,                0.03504,                 4.6613,             0.00038884,             0.00038884,             0.00038884
                     49,                 1.1125,                0.00779,                0.03764,                 4.6601,             0.00038178,             0.00038178,             0.00038178
                     50,                 1.0808,                0.00584,                0.03634,                   4.66,             0.00037471,             0.00037471,             0.00037471
                     51,                  1.085,                0.00714,                0.03829,                 4.6602,             0.00036764,             0.00036764,             0.00036764
                     52,                 1.0704,                0.00649,                0.03829,                 4.6607,             0.00036057,             0.00036057,             0.00036057
                     53,                 1.0499,                0.00779,                0.03894,                 4.6602,              0.0003535,              0.0003535,              0.0003535
                     54,                 1.0124,                0.00584,                0.03374,                 4.6609,             0.00034643,             0.00034643,             0.00034643
                     55,                 1.0441,                0.00519,                0.03958,                 4.6609,             0.00033936,             0.00033936,             0.00033936
                     56,                 1.0002,                0.00519,                0.03634,                 4.6599,              0.0003323,              0.0003323,              0.0003323
                     57,                 1.0033,                0.00649,                0.03374,                 4.6611,             0.00032523,             0.00032523,             0.00032523
                     58,                 1.0085,                0.00454,                0.03699,                 4.6616,             0.00031816,             0.00031816,             0.00031816
                     59,                0.98699,                0.00584,                0.03569,                  4.661,             0.00031109,             0.00031109,             0.00031109
                     60,                0.97509,                0.00779,                0.03634,                 4.6609,             0.00030402,             0.00030402,             0.00030402
                     61,                0.92362,                0.00584,                 0.0331,                 4.6616,             0.00029695,             0.00029695,             0.00029695
                     62,                0.94395,                0.00649,                0.03829,                 4.6618,             0.00028988,             0.00028988,             0.00028988
                     63,                0.90725,                0.00584,                0.03504,                 4.6618,             0.00028282,             0.00028282,             0.00028282
                     64,                0.88048,                0.00584,                0.03894,                 4.6603,             0.00027575,             0.00027575,             0.00027575
                     65,                0.89306,                0.00389,                 0.0305,                 4.6609,             0.00026868,             0.00026868,             0.00026868
