                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4915,                0.00758,                0.10455,                 4.6539,              0.0033264,              0.0033264,              0.0033264
                      2,                 3.1212,                 0.0081,                0.10246,                  4.654,              0.0065938,              0.0065938,              0.0065938
                      3,                 3.0972,                0.00758,                0.11448,                 4.6532,              0.0097952,              0.0097952,              0.0097952
                      4,                  3.088,                0.01098,                0.11735,                 4.6492,               0.009703,               0.009703,               0.009703
                      5,                 2.9387,                0.01228,                0.11187,                 4.6506,               0.009703,               0.009703,               0.009703
                      6,                 2.8666,                0.01255,                0.13251,                 4.6499,               0.009604,               0.009604,               0.009604
                      7,                 2.7825,                0.00993,                 0.1184,                 4.6517,               0.009505,               0.009505,               0.009505
                      8,                 2.7303,                0.01516,                0.10899,                 4.6493,               0.009406,               0.009406,               0.009406
                      9,                 2.6802,                0.01725,                0.14584,                 4.6459,               0.009307,               0.009307,               0.009307
                     10,                 2.6357,                0.01072,                 0.1252,                  4.649,               0.009208,               0.009208,               0.009208
                     11,                 2.5938,                0.01098,                0.13643,                 4.6497,               0.009109,               0.009109,               0.009109
                     12,                 2.5681,                0.00941,                 0.1333,                 4.6504,                0.00901,                0.00901,                0.00901
                     13,                 2.5284,                0.01176,                0.13487,                 4.6522,               0.008911,               0.008911,               0.008911
                     14,                 2.4673,                0.01176,                0.14166,                 4.6499,               0.008812,               0.008812,               0.008812
                     15,                 2.4643,                0.01411,                0.15421,                 4.6476,               0.008713,               0.008713,               0.008713
                     16,                 2.4388,                0.01699,                0.15133,                  4.645,               0.008614,               0.008614,               0.008614
                     17,                 2.4034,                0.01438,                0.14898,                 4.6481,               0.008515,               0.008515,               0.008515
                     18,                 2.3934,                0.01673,                0.15421,                 4.6445,               0.008416,               0.008416,               0.008416
                     19,                 2.3433,                0.01542,                 0.1563,                 4.6479,               0.008317,               0.008317,               0.008317
                     20,                 2.3058,                0.01438,                0.15133,                 4.6456,               0.008218,               0.008218,               0.008218
                     21,                 2.2771,                0.01542,                0.15499,                 4.6477,               0.008119,               0.008119,               0.008119
                     22,                  2.254,                0.01438,                0.14192,                 4.6476,                0.00802,                0.00802,                0.00802
                     23,                 2.2203,                0.01725,                0.15447,                  4.648,               0.007921,               0.007921,               0.007921
                     24,                 2.1996,                0.01359,                0.15159,                 4.6477,               0.007822,               0.007822,               0.007822
                     25,                 2.1655,                 0.0162,                0.14454,                 4.6479,               0.007723,               0.007723,               0.007723
                     26,                 2.1474,                0.01124,                0.14558,                 4.6496,               0.007624,               0.007624,               0.007624
                     27,                  2.117,                0.01255,                0.12938,                 4.6494,               0.007525,               0.007525,               0.007525
                     28,                 2.0801,                0.01124,                 0.1482,                 4.6486,               0.007426,               0.007426,               0.007426
                     29,                 2.0353,                0.01124,                0.13957,                 4.6502,               0.007327,               0.007327,               0.007327
                     30,                 2.0362,                0.01281,                0.13617,                 4.6507,               0.007228,               0.007228,               0.007228
                     31,                 1.9839,                 0.0149,                0.15682,                 4.6474,               0.007129,               0.007129,               0.007129
